3.04E+05,5.23E+04
4.69E+05,7.32E+04
5.46E+05,5.34E+04
4.36E+05,5.49E+04
4.93E+05,6.55E+04
6.13E+05,7.91E+04
6.69E+05,8.64E+04
6.86E+05,8.89E+04
7.10E+05,6.35E+04
7.95E+05,7.06E+04
7.84E+05,7.19E+04
8.81E+05,9.81E+04
9.23E+05,1.12E+05
9.37E+05,1.67E+05
8.58E+05,1.37E+05
9.28E+05,9.69E+04
9.21E+05,6.99E+04
9.30E+05,5.73E+04
8.39E+05,7.05E+04
8.39E+05,1.23E+05
9.40E+05,1.12E+05
9.75E+05,1.07E+05
1.05E+06,8.66E+04
1.14E+06,1.24E+05
1.08E+06,9.66E+04
1.24E+06,8.30E+04
1.23E+06,8.94E+04
1.20E+06,6.95E+04
1.21E+06,5.99E+04
1.10E+06,6.74E+04
1.19E+06,7.28E+04
1.12E+06,1.05E+05
1.15E+06,1.25E+05
1.20E+06,1.04E+05
1.09E+06,8.92E+04
1.08E+06,1.06E+05
1.08E+06,9.99E+04
1.05E+06,1.02E+05
1.08E+06,9.16E+04
1.16E+06,9.30E+04
1.14E+06,8.14E+04
1.12E+06,6.13E+04
1.13E+06,7.18E+04
1.12E+06,7.86E+04
1.09E+06,5.27E+04
1.11E+06,6.76E+04
1.13E+06,8.95E+04
1.12E+06,8.94E+04
1.11E+06,7.56E+04
1.17E+06,7.40E+04
1.23E+06,9.60E+04
1.22E+06,1.11E+05
1.21E+06,1.01E+05
1.23E+06,1.05E+05
1.29E+06,1.26E+05
1.33E+06,1.44E+05
1.33E+06,1.35E+05
1.37E+06,7.52E+04
1.40E+06,7.06E+04
1.39E+06,8.28E+04
1.31E+06,9.85E+04
1.32E+06,1.25E+05
1.25E+06,9.87E+04
1.47E+06,7.07E+04
1.59E+06,1.14E+05
1.53E+06,1.77E+05
1.62E+06,1.72E+05
1.52E+06,1.83E+05
1.53E+06,2.21E+05
1.54E+06,2.26E+05
1.64E+06,1.96E+05
1.64E+06,2.11E+05
1.60E+06,1.68E+05
1.59E+06,1.31E+05
1.55E+06,1.29E+05
1.53E+06,1.72E+05
1.50E+06,9.70E+04
1.59E+06,1.03E+05
1.58E+06,1.52E+05
1.56E+06,1.46E+05
1.55E+06,1.22E+05
1.56E+06,1.01E+05
1.66E+06,1.06E+05
1.61E+06,1.29E+05
1.70E+06,9.03E+04
1.73E+06,1.47E+05
1.66E+06,1.45E+05
1.62E+06,1.67E+05
1.59E+06,1.54E+05
1.55E+06,1.34E+05
1.56E+06,1.61E+05
1.67E+06,1.12E+05
1.83E+06,1.16E+05
1.80E+06,1.12E+05
1.83E+06,9.80E+04
1.80E+06,7.12E+04
1.74E+06,1.03E+05
1.80E+06,9.11E+04
1.84E+06,1.08E+05
1.84E+06,1.16E+05
1.78E+06,1.66E+05
1.62E+06,1.30E+05
1.54E+06,1.49E+05
1.52E+06,1.03E+05
1.53E+06,9.93E+04
1.59E+06,6.28E+04
1.65E+06,7.69E+04
1.79E+06,7.99E+04
1.66E+06,9.35E+04
1.67E+06,1.08E+05
1.73E+06,1.31E+05
1.68E+06,1.25E+05
1.64E+06,1.60E+05
1.54E+06,1.25E+05
1.53E+06,1.00E+05
1.65E+06,1.43E+05
1.59E+06,1.89E+05
1.63E+06,1.54E+05
1.77E+06,1.55E+05
